"id","type","form","gloss","pos","pos_condition","comment"
,,"for","want","V",,
,,"tamošo","watching","N",,
,,"x̌ac","water","N",,
,,"čīr","what","PRO",,
,,"kā","where","PRO",,
,,"kād","where","PRO",,
,,"kandi","where","PRO",,
,,"kāy","where","PRO",,
,,"čidům","which","PRO",,
,,"safed","white","N",,
,,"čāy","who","PRO",,
,,"či","who.O","PRO",,
,,"card","why","PRO",,
,,"čīzard","why","PRO",,
,,"ɣ̌in","wife","N",,
,,"xoyix̌","wish","N",,
,,"nog","hope","PRT",,
,,"nogin","hope","PRT",,
,,"ɣ̌inik","woman","N",,
,,"gāp","word","N",,
,,"kor","work","N",,
,"verb","niviš","write","V",,
,,"xato","wrong","N",,
,,"xatto","wrong","N",,
,,"sol","year","N",,
,,"zīrd","yellow","N",,
,,"ůn","yes","PRT",,
,,"biyor","yesterday","N",,
,,"ʒulik","young","N",,
,,"ʒalik","young.F","N",,
,,"rāng","SIMIL","PRO",,
,,"dawrā","time","N",,
,,"der","late","N",,
,,"mar","? die","? V",,
,,"mir","? die","? V",,
,,"mīr","? die / nobleman","? V / N",,
,,"mū","? die.M.SG","? V",,
,,"mo","? die.F/PL / PRN.1SG.O","? V / PRO",,
,,"mūɣ̌","? die","? V",,
,,"mīɣ̌","? die","? V",,
,,"moɣ̌","? die","? V",,
,,"mī","? die","? V",,
,,"oxir","? end","? N / PRT",,
,,"rawůn","going","N",,
,,"sawor","astride","N",,
