"id","type","form","gloss","pos","pos_condition","comment"
,"prefix","či-","? PROSP / CONT1","? V.AFF / PREP",,"опора на части тела (‘на спине’)"
,,"či","? PROSP / CONT1","? V.AFF / PREP",,"опора на части тела (‘на спине’)"
,"suffix","-m","? PRS.1SG / 1SG / ORD","? V.AGR / CL.AGR / N.AFF",,
,"suffix","-d","? PST / PRS.3SG / INF","? T / V.AGR / NMLZ","< V",
,"suffix","-t","? PST / PRS.3SG / INF / 2SG / COORD2","? T / V.AGR / NMLZ / CL.AGR / CONJ",,
,"suffix","-in","? PTCP1 / ADJ","? NMLZ / N.AFF",,"суффикс причастий прош. вр. от перфектной основы"
,"suffix","-ā","? Q","? PRT",,
,"suffix","-o","? Q / DISJ / COORD3","? PRT / CONJ",,"таджикский сочинительный союз"
,"suffix","-yo","? Q / DISJ / COORD3","? PRT / CONJ",,
,"verb","lu","? say","? V",,
,"verb","nūš","? sit.M.SG","V",,
,"verb","wirūv","? stand / stand.M.SG","V",,
,"verb","zê","? take","? V",,
,"verb","zi","? take","? V",,
,,"tām","? then","? PRT",,
,,"yast","? there_is / maybe","? V / PRT",,
,,"xurd","? turns_out","PRT",,
,,"du","? two","? NUM",,
,,"a","? VOC","? PRT",,
,,"e","? VOC / D2.LOC","? PRT / DEM.LOC",,
,,"ka","? where","? PRO",,
,"verb","čī","? who.O / thing / do","? PRO / V",,
,,"kam","a_little","N",,
,,"kām","a_little","N",,
,,"dūs","a_little","PRT",,
,"suffix","-ga","ADD1","PRT",,
,"suffix","-gad","ADD1","PRT",,
,"suffix","-gi","ADD1","PRT",,
,"suffix","-gid","ADD1","PRT",,
,,"mis","ADD2","PRT",,
,,"ačen","ADR","PRT",,
,,"aro","ADR","PRT",,
,,"arod","ADR","PRT",,
,,"vo","again","PRT",,
,"suffix","-iǰ","AGN","N.AFF","< ? N","деятель"
,,"-gar","AGN","N.AFF","< N",
,,"-gār","AGN","N.AFF","< N",
,,"ba","ALL","PREP",,"аллатив (‘достиг цели’), в осн. в таджикских выражениях, тадж. Инструменталис (‘топором’)"
,"prefix","ba-","ALL","PREP",,"аллатив (‘достиг цели’), в осн. в таджикских выражениях, тадж. Инструменталис (‘топором’)"
,,"fuk","all","PRO",,
,,"fukaθ","all","PRO",,
,,"ǰiwob","answer","N",,
,,"mūn","apple","N",,
,"suffix","-xez","APUD","POST",,
,,"xez","APUD","POST",,"локализация рядом с или перед ориентиром (перед, пред, при, у, около, возле, к), также личный локатив (прийти к врачу)"
,"verb","pex̌c","ask","V",,
,"verb","pex̌s","ask","V",,
,"verb","tilāp","ask_for","V",,
,"verb","tilāb","ask_for","V",,
,,"ačaθ","at_all","PRT",,
,,"xolā","aunt","N",,
,,"zibo","back","N",,
,,"gandā","bad","N",,
,,"půt","ball","N",,
,,"sabad","basket","N",,
,,"δêd","battle","N",,
,"verb","vi","be","V",,
,"verb","vuδ","be","V",,
,"verb","vārδi","be_able","V",,
,"verb","vārδī","be_able","V",,
,"verb","vārδe","be_able","V",,
,"verb","vārδo","be_able","V",,
,"verb","vārδoδ","be_able","V",,
,"verb","vārδê","be_able","V",,
,"verb","men","be_left","V",,
,"verb","bof","be_possible","V",,
,"verb","vu","be.M.SG","V",,
,,"nist","be.NEG","V",,
,,"xušrūy","beautiful","N",,
,,"piro","before","? POST / N",,
,,"ɣula","big","N",,
,,"ɣulā","big","N",,
,,"ɣullā","big","N",,
,,"têr","black","N",,
,,"nīli","blue","N",,
,,"kitob","book","N",,
,,"varθ","both","NUM",,
,,"ɣiδa","boy","N",,
,,"ɣiδā","boy","N",,
,,"ɣiδā","boy","N",,
,"verb","vūɣ̌","bring","V",,
,"verb","vīr","bring","V",,
,,"virod","brother","N",,
,,"šīg","calf","N",,
,,"qaror","calm","N",,
,,"mošīn","car","N",,
,,"piš","cat","N",,
,"suffix","-aven","CAUSE","POST",,"причина, цель, бенефактив (‘ради науки’)"
,"suffix","-ǰāt","CAUSE","POST",,"причина, цель, бенефактив (‘ради науки’)"
,,"aven","CAUSE","POST",,"причина, цель, бенефактив (‘ради науки’)"
,,"ǰāt","CAUSE","POST",,"причина, цель, бенефактив (‘ради науки’)"
,,"bačā","child","N",,
,,"bač","child","N",,
,,"ziryot","child","N",,
,,"bic","child.F","N",,
,,"buc","child.M","N",,
,,"tozā","clean","N",,
,,"sof","clear","N",,
,"verb","sifān","climb_up","V",,
,"verb","sifīn","climb_up","V",,
,"verb","sifīδ","climb_up","V",,
,"verb","sifā","climb_up.F/PL","V",,
,,"nazdīk","close","N",,
,,"pūx̌ok","clothes","N",,
,"suffix","-qateθ","COM","POST",,"комитатив (‘с собакой’), инструменталис"
,"suffix","-qati","COM","POST",,"комитатив (‘с собакой’), инструменталис"
,"suffix","-qatīr","COM","POST",,"комитатив (‘с собакой’), инструменталис"
,,"qateθ","COM","POST",,"комитатив (‘с собакой’), инструменталис"
,,"qati","COM","POST",,"комитатив (‘с собакой’), инструменталис"
,,"qatīr","COM","POST",,"комитатив (‘с собакой’), инструменталис"
,"verb","yad","come","V",,
,"verb","yat","come","V",,
,"verb","yaθ","come","V",,
,,"gax̌t","coming_back","N",,
,"suffix","-di","COMP","N.AFF","< ? N",
,"suffix","-dardi","COMP.AT","N.AFF","< ? N","аттенуативный компаратив (‘немного быстрее’)"
,,"dardi","COMP.AT","N.AFF","< ? N","аттенуативный компаратив (‘немного быстрее’)"
,"suffix","-idê","COMPL","CONJ",,
,"suffix","-idi","COMPL","CONJ",,
,,"didê","COMPL","CONJ",,
,,"didi","COMPL","CONJ",,
,,"idê","COMPL","CONJ",,
,,"idi","COMPL","CONJ",,
,,"yidê","COMPL","CONJ",,
,,"yidi","COMPL","CONJ",,
,,"-xu","COORD1","CONJ",,
